;notas_gerais;sexo;cor;renda;colegio_do_ensino_medio;familiar_ensino_superior
33;24.9;F;branca;entre 3 e 4.5 salarios;todo em escola publica;B
34;25.6;M;branca;entre 4.5 e 6 salarios;maior parte em escola publica;A
35;48.7;M;branca;entre 3 e 4.5 salarios;maior parte em escola publica;B
36;35.7;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
37;33.9;M;branca;entre 1.5 e 3 salarios;todo em escola privada;A
38;23.5;M;branca;entre 3 e 4.5 salarios;todo em escola privada;B
39;32.2;F;branca;entre 1.5 e 3 salarios;todo em escola publica;B
40;20.9;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
41;48.9;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
42;39.4;F;parda;entre 3 e 4.5 salarios;todo em escola publica;B
44;16.6;F;branca;entre 1.5 e 3 salarios;todo em escola privada;A
322;24.6;F;branca;menor que 1.5 salarios;todo em escola publica;A
350;45.1;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
351;31.7;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
352;21.2;F;amarela;entre 1.5 e 3 salarios;maior parte em escola publica;A
353;45.0;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
354;52.1;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
355;52.8;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
356;50.8;F;parda;entre 6 e 3 salarios;todo em escola privada;A
357;48.4;F;parda;entre 1.5 e 3 salarios;todo em escola privada;A
358;49.0;F;parda;menor que 1.5 salarios;todo em escola privada;A
359;20.8;F;branca;entre 6 e 3 salarios;todo em escola privada;A
360;46.8;F;branca;entre 6 e 3 salarios;todo em escola privada;A
361;32.8;F;preta;entre 10 e 30 salarios;todo em escola privada;A
362;39.1;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
363;42.9;F;parda;menor que 1.5 salarios;todo em escola publica;A
364;33.7;F;parda;entre 1.5 e 3 salarios;todo em escola privada;A
365;17.5;F;nsr;menor que 1.5 salarios;todo em escola publica;A
366;30.3;F;branca;menor que 1.5 salarios;todo em escola publica;A
367;36.1;F;branca;menor que 1.5 salarios;todo em escola publica;A
368;56.1;F;branca;menor que 1.5 salarios;todo em escola publica;A
369;38.3;F;branca;menor que 1.5 salarios;todo em escola publica;A
370;58.4;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
371;26.2;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
372;35.9;F;branca;menor que 1.5 salarios;todo em escola publica;A
373;49.4;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
374;50.6;F;branca;entre 10 e 30 salarios;todo em escola privada;A
375;71.7;F;branca;entre 10 e 30 salarios;todo em escola privada;A
376;44.8;F;branca;entre 6 e 3 salarios;todo em escola privada;A
377;42.5;F;branca;maior que 30 salarios;todo em escola privada;A
378;30.1;F;parda;entre 1.5 e 3 salarios;maior parte em escola publica;A
379;30.8;F;branca;entre 6 e 3 salarios;todo em escola privada;A
380;34.4;F;branca;entre 10 e 30 salarios;todo em escola privada;A
381;40.4;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
410;22.4;F;branca;menor que 1.5 salarios;todo em escola publica;A
411;20.5;F;branca;entre 10 e 30 salarios;todo em escola privada;A
412;41.7;F;branca;entre 10 e 30 salarios;todo em escola publica;A
413;38.9;F;preta;menor que 1.5 salarios;todo em escola publica;A
414;23.1;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
415;33.9;F;branca;menor que 1.5 salarios;todo em escola publica;A
416;46.6;F;branca;maior que 30 salarios;parte no brasil e parte no exterior;A
417;21.6;F;amarela;entre 6 e 3 salarios;todo em escola privada;A
418;16.3;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
419;28.7;F;branca;entre 10 e 30 salarios;todo em escola privada;A
420;26.9;F;branca;menor que 1.5 salarios;todo em escola publica;A
421;43.7;F;branca;entre 10 e 30 salarios;todo em escola privada;A
422;29.0;F;parda;entre 6 e 3 salarios;todo em escola publica;A
423;59.3;F;preta;entre 1.5 e 3 salarios;todo em escola publica;A
424;21.4;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
425;30.3;F;parda;entre 1.5 e 3 salarios;maior parte em escola publica;A
426;54.7;F;parda;entre 1.5 e 3 salarios;todo em escola privada;A
427;23.4;F;parda;menor que 1.5 salarios;todo em escola publica;A
428;26.9;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
429;48.7;F;branca;menor que 1.5 salarios;todo em escola publica;A
430;51.1;F;branca;menor que 1.5 salarios;todo em escola publica;A
431;35.6;F;branca;menor que 1.5 salarios;todo em escola publica;A
432;50.7;F;branca;menor que 1.5 salarios;todo em escola publica;A
433;35.2;F;branca;entre 6 e 3 salarios;todo em escola publica;A
434;32.1;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
435;45.5;F;branca;entre 10 e 30 salarios;parte no brasil e parte no exterior;A
